run,time
QD_t2_q1024_e0_p70,827
QD_t4_q128_e4_p60,1743
QD_t4_q128_e2_p60,1825
QD_t1_q1024_e2_p50,514
QD_t4_q256_e2_p50,1316
QD_t6_q1024_e16_p90,3689
QD_t1_q256_e2_p80,528
QD_t4_q1024_e4_p50,1723
QD_t8_q128_e4_p80,1933
MT_t8_q512_e0_p70,8537
QD_t1_q128_e0_p50,533
MT_t1_q128_e0_p60,400
MT_t2_q2048_e0_p70,1047
QD_t1_q128_e2_p50,522
QD_t4_q256_e0_p90,1846
QD_t1_q128_e8_p60,514
QD_t6_q1024_e16_p50,3578
QD_t1_q512_e2_p80,526
QD_t2_q256_e16_p80,798
QD_t8_q2048_e16_p50,4197
QD_t4_q1024_e8_p50,1591
MT_t1_q2048_e0_p60,554
QD_t2_q512_e4_p90,832
QD_t2_q128_e16_p80,851
QD_t6_q128_e8_p50,1953
QD_t1_q512_e2_p90,518
QD_t4_q256_e8_p90,1367
QD_t2_q128_e8_p60,785
QD_t1_q1024_e0_p70,529
MT_t2_q128_e0_p80,1008
QD_t6_q1024_e2_p60,3364
QD_t1_q256_e16_p90,537
QD_t6_q256_e16_p70,1645
MT_t4_q1024_e0_p50,3397
MT_t4_q256_e0_p80,2079
QD_t2_q256_e0_p90,866
QD_t1_q2048_e0_p90,732
QD_t8_q256_e2_p70,3567
QD_t1_q1024_e16_p90,521
QD_t8_q128_e0_p80,4513
QD_t8_q512_e8_p80,3847
MT_t2_q256_e0_p80,1061
MT_t6_q256_e0_p60,3428
QD_t6_q256_e8_p50,2753
QD_t4_q2048_e0_p80,2128
